feature,category,univ_bal_acc,mut_info,multivar_imp
stair_pos_last,stair position,0.6018,0.6601,0.0305
pressure_roll_10s_max_abs_pos,pressure,0.5928,0.6328,0.0008
pressure_roll_20s_max_up,pressure,0.589,0.7846,0.0051
pressure_roll_5s_max_abs_pos,pressure,0.5873,0.6072,0.0022
pressure_roll_20s_max_abs_pos,pressure,0.5864,0.6625,0.0349
stair_pos_p50,stair position,0.5792,0.6294,0.0335
pressure_slope_late_mean,pressure,0.5746,0.7806,0.0223
alt_rate_late_per_s,alt-rate (new),0.5616,0.8078,0.0021
stair_pos_p75,stair position,0.5594,0.5542,0.004
stair_pos_first,stair position,0.5527,0.6496,0.0015
pressure_slope_max_abs_pos,pressure,0.5452,0.4855,0.0009
stair_pos_p25,stair position,0.5445,0.6013,0.0006
pressure_roll_10s_max_up,pressure,0.5362,0.7484,0.0029
pressure_net_delta,pressure,0.4942,0.7709,0.0518
pressure_alt_gain,pressure,0.4942,0.7558,0.0178
prs_prog_50,pressure,0.4759,0.4568,0.1015
altitude_net_gain,altitude,0.4724,0.7349,0.056
prs_prog_70,pressure,0.4711,0.4687,0.0509
altitude_start,altitude,0.4609,0.5731,0.017
pressure_top10_frac,pressure,0.4536,0.5361,0.0078
prs_prog_80,pressure,0.4434,0.4536,0.0243
pressure_roll_5s_max_up,pressure,0.4384,0.5644,0.0003
alt_rate_early_vs_late_ratio,alt-rate (new),0.4327,0.3694,0.0024
pressure_slope_p95_abs,pressure,0.4283,0.3925,0.0002
pressure_deriv_p95,pressure,0.4283,0.4218,0.0
pressure_slope_early_mean,pressure,0.4271,0.6511,0.015
prs_prog_10,pressure,0.4227,0.523,0.0919
pressure_roll_20s_max_abs,pressure,0.4188,0.4205,0.1129
alt_rate_early_per_s,alt-rate (new),0.4082,0.5952,0.0093
pressure_slope_p90_abs,pressure,0.4079,0.3546,0.0
pressure_slope_late_p90_abs,pressure,0.4037,0.3289,0.001
pressure_slope_max_up,pressure,0.4032,0.4415,0.0002
heading_seq_7_cos,heading trajectory,0.4,0.2408,0.0007
pressure_roll_5s_max_down,pressure,0.3992,0.5042,0.0003
altitude_end,altitude,0.3971,0.6102,0.0192
prs_prog_20,pressure,0.3957,0.4058,0.003
pressure_roll_20s_max_down,pressure,0.3943,0.5147,0.0269
alt_prog_50,altitude,0.3938,0.3563,0.0277
pressure_reach_75_frac,pressure,0.3895,0.2485,0.0
pressure_roll_5s_max_abs,pressure,0.3895,0.3323,0.0001
alt_rate_total_per_s,alt-rate (new),0.3891,0.5172,0.0003
pressure_flat_frac,pressure,0.389,0.3256,0.0001
alt_rate_mid_per_s,alt-rate (new),0.3858,0.574,0.0155
pressure_slope_mean,pressure,0.3856,0.5417,0.0027
